w	Stern_exp	Stern_pred
235	0.0	2.6827110577188235e-11
236	0.0	4.5358626164575073e-11
237	0.0	7.617887060126094e-11
238	0.0	1.2704914631838203e-10
239	0.0	2.104831474530964e-10
240	0.0	3.4616533669306837e-10
241	0.0	5.655064923556137e-10
242	0.0	9.175771678549812e-10
243	0.0	1.479146767673062e-09
244	0.0	2.3663536216670756e-09
245	0.0	3.762544439442124e-09
246	0.0	5.93908359947815e-09
247	0.0	9.313562917363462e-09
248	0.0	1.4510261066906844e-08
249	1.4328544351716475e-07	2.244028746393733e-08
250	0.0	3.448999069488613e-08
251	1.4328544351716475e-07	5.262781702851969e-08
252	1.4328544351716475e-07	7.979237553749646e-08
253	1.4328544351716475e-07	1.201455240472083e-07
254	4.298563305514942e-07	1.7969102367739292e-07
255	2.865708870343295e-07	2.6700567602767536e-07
256	2.865708870343295e-07	3.9397046036311027e-07
257	1.146283548137318e-06	5.774577732731242e-07
258	4.298563305514942e-07	8.409483666780023e-07
259	1.146283548137318e-06	1.2162185874878316e-06
260	1.146283548137318e-06	1.7476990800547682e-06
261	3.295565200894789e-06	2.4943026291368933e-06
262	3.8687069749634475e-06	3.5361731185339838e-06
263	4.585134192549272e-06	4.980169059979074e-06
264	7.3075576193754014e-06	6.966893758384051e-06
265	6.591130401789578e-06	9.68053754318349e-06
266	1.5044971569302297e-05	1.3365750164924076e-05
267	1.6764396891508273e-05	1.83346709605102e-05
268	2.3212241849780688e-05	2.4971146952351314e-05
269	3.6394502653359844e-05	3.380103450081788e-05
270	4.3988631159769576e-05	4.544298814752221e-05
271	5.559475208465992e-05	6.0684386399970875e-05
272	8.109956103071524e-05	8.052351272303828e-05
273	0.00010832379529897654	0.00010614143487798426
274	0.00013884359476813262	0.0001389863669054013
275	0.00018354865314548804	0.000180815850116688
276	0.00024243897043104275	0.0002336826927635579
277	0.00028829031235653546	0.00030004745268196907
278	0.0003908826899148254	0.0003827221959701592
279	0.00048100923388712203	0.0004849407986411018
280	0.0006174169761154628	0.0006104995499274179
281	0.0007644278411640739	0.0007636165489764638
282	0.0009279165322171588	0.0009487911015454204
283	0.001183824334338815	0.0011712255299160272
